category,severity,module,resolution,next_step,documentation
INSUFFICIENT STOCK,Medium,Inventory,Update stock before retrying.,Reduce the requested quantity or replenish stock.,Inventory is insufficient.
INVALID DEALER OR PIN,Medium,Authentication,Verify Dealer ID and PIN.,Retry using valid credentials.,Dealer authentication failed.
INVALID INTERFACE TYPE,Medium,API,Use a valid interface type.,Verify the client configuration.,Invalid API interface identifier.
INVALID MAC ADDRESS,Medium,Device,Verify the registered MAC address.,Use the registered device only.,MAC address validation failed.
INVALID REQUEST. KINDLY CHECK REQUEST.,Medium,API,Verify the request payload.,Correct malformed or missing fields.,Malformed request received.
INVALID_OTP. OTP ENTERED IS WRONG,Low,OTP,Generate a fresh OTP if required.,Enter the correct OTP.,OTP validation failed.
Invalid Dealer Id,Medium,Authentication,Verify the Dealer ID.,Retry with the correct Dealer ID.,Dealer identifier not found.
Invalid OTP value.,Low,OTP,Enter a valid OTP.,Generate a new OTP if required.,OTP format or value is invalid.
Invalid mc code under Meta tag.,Medium,Biometric Device,Verify the biometric device configuration.,Update the device configuration.,Invalid metadata received.
Invalid value in the bs attribute of Bio element within Pid.,Medium,Biometric Device,Verify PID block generation.,Update the biometric SDK if required.,Malformed biometric request.
Invalid wadh element,Medium,Biometric Device,Generate the request using a supported SDK.,Verify WADH configuration.,Invalid WADH element.
MISSING_MOBILE_NO,Medium,Aadhaar,Register a mobile number with Aadhaar.,Update Aadhaar details.,Mobile number is mandatory.
Maximum number of attempts for OTP match is exceeded or OTP is not generated.Please generate a fresh OTP and try again.,Low,OTP,Generate a new OTP.,Retry using the latest OTP.,OTP retry limit exceeded.
NEW MOBILE NUMBER AND OLD MOBILE NUMBER SHOULD NOT MATCH,Low,Profile,Provide a different mobile number.,Retry with a new number.,Validation rule failed.
NO RECORD FOUND,Low,Database,Verify the provided information.,Ensure the record exists before retrying.,Requested record was not found.
No valid booking has been received for this QR_code/Aadhaar.,Medium,QR Booking,Verify booking information.,Retry after booking synchronization.,No booking associated with the QR code.
Not sure. Pls. check spec.,Medium,System,Review API specifications.,Validate request format.,Unclassified system validation.
OTP Flooding error.,Low,OTP,Reduce OTP requests.,Retry after some time.,OTP request rate exceeded.
Oops! failed to log or proceed for duplicate transaction reference. Please try afresh.,Medium,Transaction,Generate a new transaction reference.,Retry with a unique reference.,Duplicate transaction detected.
PLEASE REGISTER WITH PRIMARY AADHAAR XXXXXXXX,High,Aadhaar,Register using the primary Aadhaar.,Complete Aadhaar registration before retrying.,Primary Aadhaar registration missing.
Partial Acknowlegment Not Allowed,Low,Acknowledgement,Send the complete acknowledgement.,Retry with complete transaction details.,Partial acknowledgements are not supported.
Please check Aadhaar Number,Medium,Aadhaar,Verify the Aadhaar number.,Correct the Aadhaar number and retry.,Invalid Aadhaar number.
Purchased Qty more than Available Limit.,Medium,Inventory,Reduce the purchase quantity.,Retry within the available limit.,Purchase exceeds allowed quantity.
RECPT QTY EXCEEDS SALE QTY,Medium,Inventory,Verify receipt and sale quantities.,Correct the transaction quantities.,Receipt exceeds recorded sales.
Read timed out,Medium,Network,Retry the request after a few seconds.,Check network connectivity if the issue persists.,Communication timeout occurred.
Request expired Pid->ts value is older than N hours where N is a configured threshold in authentication server).,Medium,Biometric Authentication,Capture a fresh biometric sample.,Generate a new authentication request.,PID timestamp expired.
SALE TO RETAILER AND ITs USERS IS NOT ALLOWED,Medium,Sales,Verify the buyer type.,Sell only to eligible customers.,Restricted transaction.
Sale to this buyer has been made within a span of 60 minutes,Low,Sales,Wait before attempting another sale.,Retry after the restriction period.,Duplicate sale prevention rule.
Session Timeout.Please Login Again,Low,Authentication,Log in again.,Start a new session.,Session has expired.
Technical error that are internal to authentication server.,High,Authentication Server,Retry after some time.,Contact support if the issue persists.,Internal server error.
The attribute 'ci' of 'skey' is not valid,Medium,Biometric Authentication,Verify the encryption certificate.,Update the biometric SDK if necessary.,Invalid certificate identifier.
The attribute 'uid' of tag 'auth' is not a valid aadhaar number,Medium,Aadhaar,Verify the Aadhaar number.,Retry with a valid Aadhaar number.,Invalid UID format.
The price/MRP must be same as the last two MRP entered by the company.,Medium,Inventory Pricing,Use the same MRP configured by the company.,Verify product pricing before retrying.,MRP consistency validation failed.
Txn Already Reversed,Medium,Transaction,The transaction has already been reversed.,No further action is required.,Duplicate reversal detected.
UIDAI Authentication services not reachable or timed out for response,High,UIDAI Service,Retry after a short interval.,Verify network connectivity if persistent.,External UIDAI service unavailable.
UID_AUTHENTICATION_FAILED,High,UIDAI Authentication,Retry Aadhaar authentication.,Capture a fresh biometric sample or OTP.,UIDAI authentication failed.
You Have Been Logged Into Another Device.Your Session From This Device Is Expired.,Medium,Authentication,Log in again on the current device.,Avoid simultaneous logins from multiple devices.,Session invalidated due to another login.
You have exhausted the limit of getting updated pin on your mobile,Low,PIN Management,Wait before requesting another PIN update.,Retry after the cooldown period.,PIN update limit exceeded.
You have exhausted the limit of varifying otp.Kindly generate another pin and try once again,Low,OTP,Generate a fresh OTP.,Retry using the latest OTP.,OTP verification limit exceeded.
Your QR code is not active yet,Medium,QR Management,Activate the QR code before use.,Contact the issuing authority if activation is delayed.,QR code not yet active.
org.hibernate.exception.ConstraintViolationException: could not execute statement,High,Database,Review database constraints and transaction data.,Check duplicate or invalid records before retrying.,Database integrity constraint violation.
